type,name,hill_group,grid_ref,height
 MUNRO      , Sgurr na Sgine                                              , Glen Shiel                                      , NG946113 ,3103
 MUNRO      , Sgurr nan Ceathreamhnan                                     , Glen Affric and Strathfarrar                    , NH057228 ,3776
 MUNRO      , Sgurr nan Clach Geala                                       , Fannaichs and Ullapool                          , NH184715 ,3585
 MUNRO      , Sgurr nan Coireachan [Glen Dessary]                         , Knoydart and Loch Quoich                        , NM933958 ,3126
 MUNRO      , Sgurr nan Coireachan [Glen Finnan]                          , Loch Lochy                                      , NM902880 ,3136
 MUNRO      , Sgurr nan Conbhairean                                       , Glen Shiel                                      , NH129138 ,3638
 MUNRO      , Sgurr nan Each                                              , Fannaichs and Ullapool                          , NH184697 ,3028
 MUNRO      , Sgurr nan Eag                                               , The Islands                                     , NG457195 ,3031
 MUNRO      , Sgurr nan Gillean                                           , The Islands                                     , NG471252 ,3162
 MUNRO      , Sgurr Thuilm                                                , Loch Lochy                                      , NM939879 ,3159
 MUNRO      , Slioch                                                      , Dundonnell and Fisherfield                      , NH004690 ,3218
 MUNRO      , Spidean a' Choire Leith (Liathach)                          , Achnashellach and Torridon                      , NG929579 ,3461
 MUNRO      , Spidean Coire nan Clach (Beinn Eighe)                       , Achnashellach and Torridon                      , NG966597 ,3257
 MUNRO      , Spidean Mialach                                             , Knoydart and Loch Quoich                        , NH066043 ,3267
 MUNRO      , Sron a' Choire Ghairbh                                      , Loch Lochy                                      , NN222945 ,3074
 MUNRO      , Stob a' Choire Mheadhion                                    , Loch Treig and Loch Ossian                      , NN316736 ,3625
 MUNRO      , Stob a' Choire Odhair                                       , Glen Etive                                      , NN257459 ,3100
 MUNRO      , Stob Ban [Grey Corries]                                     , Nevis Range and Grey Corries                    , NN266723 ,3205
 MUNRO      , Stob Ban [Mamores]                                          , Mamores                                         , NN147654 ,3277
 MUNRO      , Stob Binnein                                                , Crianlarich                                     , NN434227 ,3822
 MUNRO      , Stob Coir' an Albannaich                                    , Glen Etive                                      , NN169443 ,3425
 MUNRO      , Stob Coire a' Chairn                                        , Mamores                                         , NN185660 ,3218
 MUNRO      , Stob Coire an Laoigh                                        , Nevis Range and Grey Corries                    , NN239725 ,3661
 MUNRO      , Stob Coire Claurigh                                         , Nevis Range and Grey Corries                    , NN262738 ,3861
 MUNRO      , Stob Coire Easain                                           , Loch Treig and Loch Ossian                      , NN308730 ,3658
 MUNRO      , Stob Coire Raineach (Buachaille Etive Beag)                 , Glencoe                                         , NN191548 ,3034
 MUNRO      , Stob Coire Sgreamhach                                       , Glencoe                                         , NN154536 ,3517
 MUNRO      , Stob Coire Sgriodain                                        , Loch Treig and Loch Ossian                      , NN356743 ,3211
 MUNRO      , Stob Dearg (Buachaille Etive Mor)                           , Glencoe                                         , NN222542 ,3349
 MUNRO      , Stob Diamh (Ben Cruachan)                                   , Cruachan                                        , NN094308 ,3274
 MUNRO      , Stob Dubh (Buachaille Etive Beag)                           , Glencoe                                         , NN179535 ,3143
 MUNRO      , Stob Ghabhar                                                , Glen Etive                                      , NN230455 ,3576
 MUNRO      , Stob na Broige (Buachaille Etive Mor)                       , Glencoe                                         , NN190525 ,3136
 MUNRO      , Stob Poite Coire Ardair                                     , Laggan and Monadh Liath                         , NN428888 ,3458
 MUNRO      , Stuc a' Chroin                                              , Crieff and Loch Earn                            , NN617174 ,3198
 MUNRO      , Stuchd an Lochain                                           , Rannoch and Glen Lyon                           , NN483448 ,3149
 MUNRO      , The Cairnwell                                               , Cairnwell                                       , NO134773 ,3061
 MUNRO      , The Devils Point                                            , South Cairngorms                                , NN976951 ,3293
 MUNRO      , The Saddle                                                  , Glen Shiel                                      , NG936131 ,3313
 MUNRO      , Toll Creagach                                               , Glen Affric and Strathfarrar                    , NH194282 ,3458
 MUNRO      , Tolmount                                                    , Glenshee and Lochnagar                          , NO210800 ,3143
 MUNRO      , Tom a' Choinich                                             , Glen Affric and Strathfarrar                    , NH164273 ,3648
 MUNRO      , Tom Buidhe                                                  , Glenshee and Lochnagar                          , NO213787 ,3139
 MUNRO      , Tom na Gruagaich (Beinn Alligin)                            , Achnashellach and Torridon                      , NG859601 ,3024
